upid,tgtplatethickness1,tgtwidth,steelspec,discharge,rm_time,fm_time,staying_time_pre,staying_time_1,staying_time_2,staying_time_soak,in_fce_time,cooltime,discharge_rm-fm
18922373000,0.0172,2.584,L450M,54.228,135.508,81.408,131,94,82,60,369,8.871,156.819
18922374000,0.0133,2.59,L450M,88.092,155.143,78.054,131,103,81,49,365,7.328,124.026
18922375000,0.0133,2.59,L450M,73.722,146.399,76.272,131,104,80,50,366,7.328,120.099
18922376000,0.0133,2.59,L450M,55.764,126.382,81.358,133,103,72,58,367,7.329,129.118
18922377000,0.0133,2.59,L450M,48.79,147.399,76.796,123,102,80,61,368,7.329,132.009
18922378000,0.0133,2.59,L450M,81.686,135.847,78.804,133,103,80,50,366,7.329,122.496
18923001000,0.0133,2.59,L450M,76.496,124.793,80.792,134,102,82,49,367,7.329,142.467
18923002000,0.0133,2.59,L450M,55.404,127.727,79.686,132,103,72,59,366,7.329,144.859
18923003000,0.0133,2.59,L450M,51.405,130.935,77.049,124,102,80,61,367,7.328,133.009
18923004000,0.0133,2.59,L450M,82.237,167.376,78.099,154,83,72,57,366,7.329,102.233
18923005000,0.0133,2.585,L450M,99.921,142.425,79.875,160,76,71,58,366,7.329,124.465
18923006000,0.0133,2.59,L450M,70.756,135.696,80.211,125,102,80,59,367,7.329,131.564
18923007000,0.0133,2.59,L450M,49.376,138.279,79.815,145,83,78,61,368,7.329,138.199
18923008000,0.0133,2.59,L450M,81.778,149.047,80.316,160,77,69,63,369,7.329,113.322
18923009000,0.0133,2.59,L450M,74.609,125.282,78.905,162,68,78,62,371,7.329,124.756
18923010000,0.0133,2.59,L450M,55.937,149.175,80.257,151,77,76,65,370,7.329,114.193
18923011000,0.0133,2.59,L450M,48.711,152.739,78.811,159,78,76,65,379,7.329,106.471
18923012000,0.0133,2.59,L450M,82.28,148.036,79.245,160,71,77,61,370,7.329,87.691
18923013000,0.0133,2.59,L450M,83.198,134.543,84.231,160,69,79,61,370,7.328,110.934
18923014000,0.0133,2.59,L450M,56.142,146.301,78.767,161,70,78,61,370,7.328,115.344
18923015000,0.0133,2.59,L450M,48.443,134.602,79.835,162,76,79,63,381,7.329,126.374
18923016000,0.0133,2.59,L450M,82.58,153.562,78.044,165,70,77,60,374,7.328,104.59
18923017000,0.0133,2.59,L450M,76.491,150.234,79.724,161,72,73,63,371,7.329,109.974
18923018000,0.0133,2.59,L450M,60.751,143.767,79.712,169,71,75,62,379,7.328,105.556
18923019000,0.0133,2.59,L450M,51.32,140.731,80.205,170,71,74,64,382,7.328,106.564
18923020000,0.0133,2.59,L450M,82.563,151.249,82.233,168,73,75,60,378,7.328,112.322
18923021000,0.0133,2.59,L450M,74.115,142.229,80.148,171,71,76,59,379,7.33,118.712
18923022000,0.0133,2.59,L450M,62.312,143.509,81.36,172,71,74,62,380,7.328,114.673
18923023000,0.0133,2.59,L450M,53.196,139.826,80.583,171,61,74,73,381,7.329,129.125
18923024000,0.0133,2.59,L450M,86.565,147.357,79.788,171,70,75,61,379,7.329,105.747
18923025000,0.0133,2.59,L450M,78.658,135.424,77.951,171,70,78,59,379,7.329,119.8
18923026000,0.0133,2.59,L450M,62.697,140.585,78.188,168,69,77,60,376,7.329,108.244
18923027000,0.0133,2.59,L450M,52.154,144.241,82.423,159,70,75,71,377,7.329,104.009
18923028000,0.0133,2.59,L450M,86.284,138.821,78.777,169,68,80,56,375,7.33,100.211
18923029000,0.0133,2.59,L450M,76.986,143.331,81.128,169,69,79,56,376,7.328,120.717
18923030000,0.0133,2.59,L450M,59.069,203.144,82.601,160,77,79,58,376,7.328,104.019
18923031000,0.0133,2.59,L450M,113.037,141.939,76.651,160,68,75,71,376,7.328,101.187
18923032000,0.0133,2.59,L450M,131.602,138.723,79.77,169,67,80,56,374,7.328,105.411
18923033000,0.0133,2.59,L450M,116.391,161.899,76.81,162,76,80,55,375,7.329,101.421
18923034000,0.0133,2.59,L450M,115.97,144.004,79.547,160,67,88,57,374,7.329,96.856
18923035000,0.0133,2.59,L450M,110.803,134.3,76.605,160,66,79,66,374,7.329,101.907
18923036000,0.0133,2.59,L450M,122.023,136.946,79.488,163,75,77,56,373,7.328,107.323
18923037000,0.0133,2.59,L450M,102.503,131.566,79.675,164,77,82,51,376,7.328,124.9
18923038000,0.0133,2.59,L450M,69.724,141.455,81.606,160,77,78,55,372,7.329,127.772
18923039000,0.0133,2.59,L450M,63.101,139.002,76.948,166,66,90,56,380,7.329,128.302
18923040000,0.0133,2.59,L450M,83.535,136.648,80.013,165,75,80,53,375,7.329,124.467
18923041000,0.0133,2.59,L450M,80.377,141.552,79.192,170,73,79,53,377,7.33,121.397
18923042000,0.0133,2.59,L450M,63.416,134.165,77.767,171,65,87,55,379,7.328,133.146
18923043000,0.0133,2.59,L450M,55.68,130.471,78.533,172,64,88,55,381,7.329,132.713
18923044000,0.0133,2.59,L450M,86.799,129.166,78.482,171,74,81,51,379,7.329,116.689
18923045000,0.0133,2.59,L450M,78.446,132.77,79.632,173,73,80,51,379,7.329,116.351
18923046000,0.0133,2.59,L450M,59.256,129.501,77.756,170,65,87,55,379,7.329,122.544
18923047000,0.0133,2.59,L450M,52.814,141.886,81.029,171,65,86,56,379,7.329,115.059
18923048000,0.0133,2.59,L450M,86.031,137.088,79.533,170,74,79,53,378,7.329,111.275
18923049000,0.0133,2.59,L450M,77.688,132.769,80.786,170,75,79,52,378,7.329,116.347
18923050000,0.0133,2.59,L450M,59.863,141.312,80.21,170,66,87,54,378,7.331,115.768
18923051000,0.0133,2.59,L450M,55.231,134.778,79.569,149,63,78,66,358,7.331,121.502
18923052000,0.0133,2.59,L450M,85.944,133.26,78.719,149,66,87,53,357,7.329,115.102
18923053000,0.0133,2.59,L450M,78.274,136.756,78.092,143,77,84,44,350,7.329,113.662
18923054000,0.0133,2.59,L450M,59.418,137.423,80.057,142,66,87,53,350,7.335,115.112
18923055000,0.0133,2.59,L450M,55.121,128.785,79.964,134,72,78,65,351,7.336,137.384
18923056000,0.0133,2.59,L450M,86.601,129.312,78.875,142,70,82,53,349,7.332,125.087
18923057000,0.0133,2.59,L450M,78.398,145.926,78.337,142,78,74,52,348,7.328,113.369
18923058000,0.0133,2.59,L450M,64.236,136.409,81.448,134,78,82,54,350,7.328,114.58
18923059000,0.0133,2.59,L450M,55.222,130.89,81.752,133,76,73,66,349,7.331,119.713
18923060000,0.0133,2.59,L450M,85.782,128.219,79.298,144,67,83,53,348,7.331,119.421
18923061000,0.0133,2.59,L450M,80.448,152.68,80.204,135,90,70,52,348,7.336,103.252
18923062000,0.0133,2.59,L450M,72.623,143.043,81.402,144,65,82,55,348,7.334,109.346
18923063000,0.0133,2.59,L450M,66.345,140.783,80.884,131,77,73,65,349,7.334,113.617
18923064000,0.0133,2.59,L450M,86.764,132.153,78.574,143,77,72,53,347,7.331,121.966
18923065000,0.0133,2.59,L450M,78.387,129.698,77.559,144,76,81,44,347,7.331,119.564
18923066000,0.0133,2.59,L450M,60.09,130.55,80.356,135,77,80,54,348,7.336,129.899
18923067000,0.0133,2.59,L450M,52.408,143.003,80.504,132,78,69,66,347,7.335,118.741
18923068000,0.0133,2.59,L450M,86.669,135.547,78.563,143,77,72,53,347,7.335,110.407
18923069000,0.0133,2.59,L450M,78.321,164.827,81.033,142,77,72,52,345,7.336,129.792
18923070000,0.0133,2.59,L450M,80.875,150.672,78.481,132,76,82,53,346,7.335,107.713
18923071000,0.0133,2.59,L450M,83.092,136.841,80.026,133,77,78,56,346,7.336,115.774
18923072000,0.0133,2.59,L450M,118.269,130.71,81.408,132,85,73,52,344,7.336,116.875
18923073000,0.0133,2.59,L450M,94.562,141.739,81.406,142,78,72,51,345,7.336,122.254
18923074000,0.0133,2.59,L450M,76.549,138.486,78.382,132,78,78,55,345,7.336,115.203
18923075000,0.0133,2.59,L450M,63.402,130.66,81.272,132,76,79,56,344,7.336,123.83
18923076000,0.0133,2.59,L450M,84.245,136.802,78.626,132,84,72,53,343,7.336,128.157
18923077000,0.0133,2.59,L450M,80.612,136.319,79.102,144,72,81,44,343,7.336,140.352
18923078000,0.0133,2.59,L450M,61.83,129.072,78.918,132,76,80,53,343,7.336,141.882
18923079000,0.01473,2.892,Gr.483 CAT.II,52.424,132.048,82.807,129,75,80,55,341,7.748,132.139
18923080000,0.01473,2.892,Gr.483 CAT.II,83.11,169.001,82.704,142,71,72,53,339,7.748,114.237
18923081000,0.01473,2.892,Gr.483 CAT.II,91.055,142.405,82.511,145,71,80,44,342,7.748,125.762
18923082000,0.01473,2.892,Gr.483 CAT.II,67.97,156.87,80.499,134,72,80,53,340,7.748,115.678
